Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Citizens financial group inc,CFG,"",365044.0,12908000.0,0.1952,0.3528,154,-245994.0,-40.25838,reduction,0.0796413,Q3 2017,FINANCE,13F,06/30/2019,40.2384
Anthem inc,ANTM,"",43986.0,12413000.0,0.1877,0.2814,155,-11211.0,-20.310886,reduction,0.0171019,Q3 2018,HEALTH CARE,13F,06/30/2019,284.2341
Axalta coating systems ltd,AXTA,"",402568.0,11984000.0,0.1812,0.6775,156,-1110095.0,-73.386802,reduction,0.1715976,Q4 2017,MATERIALS,13F,06/30/2019,29.7742
Gaming and leisure properties inc,GLPI,"",304300.0,11862000.0,0.1793,0.1315,157,112400.0,58.572173,addition,0.1417591,Q4 2018,REAL ESTATE,13F,06/30/2019,34.7737
Sailpoint technologies holdings inc,SAIL,"",589099.0,11806000.0,0.1785,,158,589099.0,,new,0.6642975,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,20.04
Santander consumer usa holdings inc,SC,"",488382.0,11702000.0,0.1769,0.2631,159,-212518.0,-30.32073,reduction,0.1388317,Q3 2016,FINANCE,13F,06/30/2019,14.755
Lowes companies  inc.,LOW,"",114095.0,11513000.0,0.1741,0.69,160,-240704.0,-67.842356,reduction,0.0143350,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,99.5362
Lennar corp. class a,LEN,"",232600.0,11272000.0,0.1704,,161,232600.0,,new,0.0719745,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,48.46
American homes 4 rent,AMH,"",462446.0,11242000.0,0.17,0.322,162,-335203.0,-42.023873,reduction,0.1542927,Q4 2017,REAL ESTATE,13F,06/30/2019,20.4838
Kar auction services inc,KAR,"",449420.0,11236000.0,0.1699,0.4463,163,-844132.26,-65.256912,reduction,0.3371999,Q1 2018,INDUSTRIALS,13F,06/30/2019,49.059
Alexandria real estate equities  inc.,ARE,"",78855.0,11126000.0,0.1682,,164,78855.0,,new,0.0699503,Q1 2017,REAL ESTATE,13F,06/30/2019,141.09
Equifax inc.,EFX,"",78737.0,10648000.0,0.161,0.3483,165,-86713.0,-52.410396,reduction,0.0652336,Q1 2019,INDUSTRIALS,13F,06/30/2019,118.5
Raytheon co.,RTN,"",60000.0,10433000.0,0.1577,0.372,166,-55000.0,-47.826087,reduction,0.0212585,Q1 2019,INDUSTRIALS,13F,06/30/2019,182.08
Oreilly automotive inc.,ORLY,"",27550.0,10175000.0,0.1538,,167,27550.0,,new,0.0351448,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,369.32
Laboratory corp of america holdings,LH,"",58840.0,10173000.0,0.1538,0.3002,168,-51603.0,-46.723649,reduction,0.0596271,Q3 2018,HEALTH CARE,13F,06/30/2019,144.2498
Green plains inc,GPRE,"",928453.0,10009000.0,0.1513,0.1377,169,463835.0,99.831474,addition,2.2415572,Q1 2017,ENERGY,13F,06/30/2019,14.6641
Paycom software inc,PAYC,"",44117.0,10002000.0,0.1512,0.4333,170,-84845.0,-65.790698,reduction,0.0754008,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,189.13
Pioneer natural resources co.,PXD,"",63500.0,9770000.0,0.1477,0.5256,171,-130800.0,-67.31858,reduction,0.0376877,Q3 2015,ENERGY,13F,06/30/2019,144.7367
Consolidated-tomoka land co.,CTO,"",162617.0,9708000.0,0.1468,0.1706,172,0.0,0.0,,3.0058595,Q2 2011,REAL ESTATE,13F,06/30/2019,41.6536
Sony corp. sponsored adr,SNE,"",185000.0,9692000.0,0.1465,,173,185000.0,,new,0.0146462,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,52.39
Nuvasive inc,NUVA,"",165200.0,9671000.0,0.1462,,174,165200.0,,new,0.3185499,Q2 2019,HEALTH CARE,13F,06/30/2019,58.54
Lumentum holdings inc,LITE,"",174490.0,9320000.0,0.1409,0.1196,175,55390.0,46.507137,addition,0.2283901,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,55.5464
Ph glatfelter co,GLT,"",549571.0,9277000.0,0.1403,0.3001,176,-646917.0,-54.067989,reduction,1.2484575,Q3 2018,MATERIALS,13F,06/30/2019,13.8117
Arconic inc. (alcoa),ARNC,"",350000.0,9037000.0,0.1366,0.1494,177,-90000.0,-20.454545,reduction,0.0772491,Q1 2016,INDUSTRIALS,13F,06/30/2019,18.255
International seaways inc,INSW,"",474067.0,9007000.0,0.1362,0.0998,178,146300.0,44.635366,addition,1.6224059,Q2 2018,ENERGY,13F,06/30/2019,20.2301
Parsley energy inc,PE,"",473100.0,8994000.0,0.136,,179,473100.0,,new,0.1494079,Q1 2017,ENERGY,13F,06/30/2019,19.01
Ship finance international ltd,SFL,"",700000.0,8757000.0,0.1324,0.1754,180,-100000.0,-12.5,reduction,0.5864120,Q2 2018,ENERGY,13F,06/30/2019,13.5963
Caretrust reit inc,CTRE,"",360363.0,8569000.0,0.1296,0.0132,181,328763.0,1040.389241,addition,0.3770276,Q2 2018,REAL ESTATE,13F,06/30/2019,23.2032
Intelsat s.a.,I,"",437079.0,8501000.0,0.1285,0.1445,182,-82226.0,-15.833855,reduction,0.3166780,Q4 2018,COMMUNICATIONS,13F,06/30/2019,16.9073
Adobe systems  inc.,ADBE,"",28150.0,8294000.0,0.1254,,183,28150.0,,new,0.0057690,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,294.65
Marriott international inc/md,MAR,"",58990.0,8276000.0,0.1251,0.1346,184,-1602.0,-2.643913,reduction,0.0173669,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,125.09
Wpx energy inc,WPX,"",711248.0,8186000.0,0.1238,0.1659,185,-1152.0,-0.161707,reduction,0.1684344,Q4 2014,ENERGY,13F,06/30/2019,14.3484
Kinder morgan inc. (de),KMI,"",390000.0,8143000.0,0.1231,0.1635,186,-69800.0,-15.180513,reduction,0.0172281,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,15.9509
Siteone landscape supply inc,SITE,"",115852.0,8029000.0,0.1214,0.0527,187,63994.0,123.402368,addition,0.2824970,Q3 2018,INDUSTRIALS,13F,06/30/2019,63.8614
Cannae holdings inc,CNNE,"",275543.0,7985000.0,0.1207,0.1106,188,18886.0,7.358459,addition,0.3815328,Q1 2019,FINANCE,13F,06/30/2019,24.5835
Apergy corp,APY,"",236800.0,7942000.0,0.1201,,189,236800.0,,new,0.3059827,Q2 2019,ENERGY,13F,06/30/2019,33.54
Technipfmc plc ordinary share,FTI,"",302000.0,7834000.0,0.1184,,190,302000.0,,new,0.0647249,Q4 2018,ENERGY,13F,06/30/2019,25.94
Ship finance international ltd,SFL,PRN,7200000.0,7277000.0,0.11,0.1264,191,0.0,0.0,,N/A,Q3 2018,ENERGY,13F,06/30/2019,
Brixmor property group inc,BRX,"",406609.0,7270000.0,0.1099,,192,406609.0,,new,0.1364506,Q4 2017,REAL ESTATE,13F,06/30/2019,17.88
Scorpio tankers inc,STNG,"",242459.0,7157000.0,0.1082,0.2154,193,-368677.0,-60.326507,reduction,0.4717101,Q4 2017,TRANSPORTS,13F,06/30/2019,5.9742
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",40963.0,7152000.0,0.1081,0.3301,194,-75949.0,-64.962536,reduction,0.0056239,Q4 2017,INDUSTRIALS,13F,06/30/2019,144.0874
Citigroup  inc.,C,"",101516.0,7109000.0,0.1075,0.8531,195,-670283.0,-86.846834,reduction,0.0039499,Q1 2019,FINANCE,13F,06/30/2019,62.22
Carlisle companies inc,CSL,"",50600.0,7105000.0,0.1074,,196,50600.0,,new,0.0883380,Q2 2019,INDUSTRIALS,13F,06/30/2019,140.41
Targa resources inc,TRGP,"",180000.0,7067000.0,0.1068,0.0775,197,75000.0,71.428571,addition,0.0774260,Q1 2018,ENERGY,13F,06/30/2019,40.5958
Euronav nv,EURN,"",736563.0,6953000.0,0.1051,0.1512,198,-307845.0,-29.47555,reduction,0.3302233,Q2 2018,TRANSPORTS,13F,06/30/2019,8.8703
C.h. robinson worldwide inc,CHRW,"",80262.0,6770000.0,0.1024,0.3206,199,-127223.0,-61.316722,reduction,0.0584319,Q2 2018,TRANSPORTS,13F,06/30/2019,86.99
Corteva inc,CTVA,"",222300.0,6573000.0,0.0994,,200,222300.0,,new,0.0296400,Q2 2019,MATERIALS,13F,06/30/2019,29.57
Edison international (southern california edison),EIX,"",97001.0,6539000.0,0.0989,0.1476,201,-37199.0,-27.719076,reduction,0.0297723,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,61.92
Cameco corp.,CCJ,"",578900.0,6212000.0,0.0939,,202,578900.0,,new,0.1462644,Q2 2019,ENERGY,13F,06/30/2019,10.73
Stemline therapeutics inc,STML,"",398400.0,6103000.0,0.0923,0.1028,203,-52068.0,-11.558646,reduction,0.9118791,Q1 2019,HEALTH CARE,13F,06/30/2019,12.85
Wmih corp,COOP,"",748034.0,5992000.0,0.0906,0.1247,204,16315.0,2.229681,addition,0.3452412,Q1 2018,FINANCE,13F,06/30/2019,11.5902
Bhp group plc,BBL,"",110000.0,5622000.0,0.085,0.1514,205,-66551.0,-37.695057,reduction,0.0104167,Q1 2016,MATERIALS,13F,06/30/2019,33.0491
Amarin corp. adr,AMRN,"",265000.0,5138000.0,0.0777,0.0861,206,31625.0,13.551152,addition,0.0820637,Q1 2019,HEALTH CARE,13F,06/30/2019,20.5965
Macquarie infrastructure co,MIC,"",120000.0,4865000.0,0.0736,0.236,207,-202322.0,-62.770149,reduction,0.1395673,Q4 2017,TRANSPORTS,13F,06/30/2019,44.6518
Liberty broadband corp class c,LBRDK,"",45000.0,4690000.0,0.0709,,208,45000.0,,new,0.0248030,Q2 2019,COMMUNICATIONS,13F,06/30/2019,104.22
Renewable energy group inc,REGI,"",292968.0,4646000.0,0.0702,,209,292968.0,,new,0.7787560,Q2 2019,HEALTH CARE,13F,06/30/2019,15.86
Murphy oil corp.,MUR,"",187500.0,4622000.0,0.0699,,210,187500.0,,new,0.1083439,Q2 2019,ENERGY,13F,06/30/2019,24.65
Centennial resource development inc,CDEV,"",598400.0,4542000.0,0.0687,,211,598400.0,,new,0.2164743,Q2 2019,MATERIALS,13F,06/30/2019,7.59
Tenaris sa ads adr,TS,"",172347.0,4534000.0,0.0685,,212,172347.0,,new,0.0291980,Q2 2019,ENERGY,13F,06/30/2019,26.31
Brigham minerals inc,MNRL,"",200000.0,4292000.0,0.0649,,213,200000.0,,new,0.3939334,Q2 2019,ENERGY,13F,06/30/2019,21.46
Sm energy co,SM,"",341833.0,4280000.0,0.0647,,214,341833.0,,new,0.3045554,Q2 2019,ENERGY,13F,06/30/2019,12.52
Teekay tankers ltd,TNK,"",3150000.0,4032000.0,0.061,0.033,215,1235200.0,64.508043,addition,1.1729223,Q2 2018,TRANSPORTS,13F,06/30/2019,1.1433
Hilton grand vacations inc,HGV,"",125000.0,3978000.0,0.0601,,216,125000.0,,new,0.1377107,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,31.82
Associated banc-corp,ASB,"",176100.0,3723000.0,0.0563,,217,176100.0,,new,0.1068892,Q2 2019,FINANCE,13F,06/30/2019,21.14
Plains group holdings l.p.,PAGP,"",144000.0,3596000.0,0.0544,,218,144000.0,,new,0.0902878,Q2 2019,ENERGY,13F,06/30/2019,24.97
Coherus biosciences inc,CHRS,"",155000.0,3426000.0,0.0518,0.12,219,-340365.0,-68.709941,reduction,0.2235362,Q4 2018,HEALTH CARE,13F,06/30/2019,9.05
Flexion therapeutics inc,FLXN,"",269000.0,3309000.0,0.05,0.0734,220,-62185.0,-18.776515,reduction,0.7080811,Q3 2018,HEALTH CARE,13F,06/30/2019,15.4929
Veeco instruments  inc. (de),VECO,"",270348.0,3304000.0,0.05,0.1614,221,-567718.0,-67.741443,reduction,0.5628732,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,9.2419
Avaya holdings corp,AVYA,"",267420.0,3185000.0,0.0482,,222,267420.0,,new,0.2415282,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,11.91
Matador resources co,MTDR,"",153300.0,3048000.0,0.0461,,223,153300.0,,new,0.1314751,Q2 2019,ENERGY,13F,06/30/2019,19.88
Carmax inc.,KMX,"",34600.0,3004000.0,0.0454,,224,34600.0,,new,0.0208195,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,86.83
Gulfport energy corp,GPOR,"",601284.0,2952000.0,0.0446,,225,601284.0,,new,0.3689085,Q2 2019,ENERGY,13F,06/30/2019,4.91
Diamond s shipping inc,DSSI,"",226900.0,2898000.0,0.0438,0.0139,226,151900.0,202.533333,addition,0.5688142,Q1 2019,TRANSPORTS,13F,06/30/2019,11.9866
First hawaiian inc,FHB,"",109973.0,2845000.0,0.043,0.5553,227,-1090024.0,-90.83556,reduction,0.0814554,Q3 2018,FINANCE,13F,06/30/2019,27.16
Westport fuel,WPRT,"",1007072.0,2729000.0,0.0413,0.0282,228,-18920.0,-1.844069,reduction,0.7550397,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,2.2356
Liberty broadband corp class a,LBRDA,"",25000.0,2571000.0,0.0389,,229,25000.0,,new,0.0137794,Q2 2019,COMMUNICATIONS,13F,06/30/2019,102.84
Gogo inc,GOGO,"",595761.0,2371000.0,0.0358,,230,595761.0,,new,0.6785433,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,3.98
Therapeuticsmd inc,TXMD,"",785000.0,2041000.0,0.0309,0.0066,231,708650.0,928.15979,addition,0.3254291,Q1 2019,ENERGY,13F,06/30/2019,2.8208
Freeport-mcmoran copper & gold  inc,FCX,"",175000.0,2032000.0,0.0307,0.0401,232,0.0,0.0,,0.0120768,Q2 2018,MATERIALS,13F,06/30/2019,13.8043
Seaboard corp. (hathaway bakeries),SEB,"",477.0,1973000.0,0.0298,,233,477.0,,new,0.0407692,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,4136.74
Tesla inc,TSLA,PUT,2000.0,1885000.0,0.0285,0.0931,234,-1000.0,-33.333333,reduction,N/A,Q2 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,
American axle & manufacturing holdings inc,AXL,"",140000.0,1786000.0,0.027,0.0356,235,0.0,0.0,,0.1252909,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,13.7486
Comfort systems usa  inc.,FIX,"",30000.0,1530000.0,0.0231,,236,30000.0,,new,0.0813670,Q2 2019,INDUSTRIALS,13F,06/30/2019,50.99
Ak steel holding corp.,AKS,"",605000.0,1434000.0,0.0217,0.0296,237,0.0,0.0,,0.1912681,Q2 2016,MATERIALS,13F,06/30/2019,4.7269
Arcelormittal s.a.  sponsored adr,MT,"",75000.0,1352000.0,0.0204,,238,75000.0,,new,0.0073535,Q1 2016,MATERIALS,13F,06/30/2019,18.03
Src energy inc,SRCI,"",250000.0,1240000.0,0.0187,,239,250000.0,,new,0.1027454,Q2 2019,ENERGY,13F,06/30/2019,4.96
Chesapeake energy corp.,CHK,"",625000.0,1219000.0,0.0184,0.0344,240,0.0,0.0,,0.0383031,Q1 2019,ENERGY,13F,06/30/2019,3.1
Ishares iboxx $ high yield corp bond etf,HYG,PUT,9000.0,1202000.0,0.0182,0.0212,241,-1000.0,-10.0,reduction,No Data,Q3 2018,FINANCE,13F,06/30/2019,
Archer-daniels-midland co.,ADM,"",24997.0,1020000.0,0.0154,,242,24997.0,,new,0.0044630,Q1 2018,CONSUMER STAPLES,13F,06/30/2019,40.8
Us well services inc,USWS,"",170600.0,822000.0,0.0124,0.0242,243,0.0,0.0,,0.2494882,Q1 2019,ENERGY,13F,06/30/2019,7.98
United natural foods inc,UNFI,PUT,3000.0,660000.0,0.01,0.0091,244,1400.0,87.5,addition,N/A,Q4 2018,CONSUMER STAPLES,13F,06/30/2019,
Salesforce.com inc.,CRM,PUT,500.0,486000.0,0.0073,,245,500.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Intelsat s.a.,I,CALL,800.0,426000.0,0.0064,,246,800.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
Spdr s&p 500 etf trust,SPY,"",1321.0,387000.0,0.0059,,247,1321.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,293.0
Veoneer inc,VNE,"",20000.0,346000.0,0.0052,,248,20000.0,,new,0.0228912,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,17.31
Diebold nixdorf,DBD,PUT,1000.0,243000.0,0.0037,,249,1000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Carnival corp.,CCL,"",5000.0,233000.0,0.0035,0.258,250,-281300.0,-98.25358,reduction,0.0009488,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,50.72
Nvent electric plc,NVT,"",0.0,0.0,,0.065,"",-135593.0,-100.0,soldall,0.0000000,Q3 2018,INDUSTRIALS,13F,06/30/2019,27.16
Terex corp. (northwest engineering co.),TEX,"",0.0,0.0,,0.0392,"",-68678.0,-100.0,soldall,0.0000000,Q4 2018,INDUSTRIALS,13F,06/30/2019,28.5312
Emerson electric co.,EMR,"",0.0,0.0,,0.4257,"",-350000.0,-100.0,soldall,0.0000000,Q1 2019,INDUSTRIALS,13F,06/30/2019,68.47
Epr properties,EPR,"",0.0,0.0,,0.1764,"",-129147.0,-100.0,soldall,0.0000000,Q1 2019,REAL ESTATE,13F,06/30/2019,76.9
Patterson-uti energy inc,PTEN,"",0.0,0.0,,0.0499,"",-200300.0,-100.0,soldall,0.0000000,Q4 2017,ENERGY,13F,06/30/2019,15.8348
Fox corp,FOX,"",0.0,0.0,,0.4588,"",-719752.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2019,35.88
Inphi corp,IPHI,"",0.0,0.0,,0.2034,"",-261762.0,-100.0,soldall,0.0000000,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,32.1213
Lockheed martin corp.,LMT,"",0.0,0.0,,0.5866,"",-110000.0,-100.0,soldall,0.0000000,Q1 2019,INDUSTRIALS,13F,06/30/2019,300.16
Southern co.,SO,"",0.0,0.0,,0.6082,"",-662404.0,-100.0,soldall,0.0000000,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,51.68
Callon petroleum co. (1994),CPE,"",0.0,0.0,,0.0738,"",-550000.0,-100.0,soldall,0.0000000,Q2 2018,ENERGY,13F,06/30/2019,11.5654
Dow inc,DOW,"",0.0,0.0,,0.1055,"",-115000.0,-100.0,soldall,0.0000000,Q1 2019,MATERIALS,13F,06/30/2019,
Aptiv plc,APTV,"",0.0,0.0,,0.2042,"",-144585.0,-100.0,soldall,0.0000000,Q3 2018,INDUSTRIALS,13F,06/30/2019,83.9
Schlumberger ltd.,SLB,"",0.0,0.0,,0.116,"",-149900.0,-100.0,soldall,0.0000000,Q1 2019,ENERGY,13F,06/30/2019,43.57
Regions financial corp.  (birmingham  al),RF,"",0.0,0.0,,0.562,"",-2235665.0,-100.0,soldall,0.0000000,Q2 2018,FINANCE,13F,06/30/2019,13.5899
Weatherford international plc,WFT,"",0.0,0.0,,0.004,"",-320000.0,-100.0,soldall,N/A,Q2 2018,ENERGY,13F,06/30/2019,2.4006
Zoetis  inc.,ZTS,"",0.0,0.0,,0.1112,"",-62177.0,-100.0,soldall,0.0000000,Q1 2019,HEALTH CARE,13F,06/30/2019,100.67
Bristol-myers squibb co,BMY,CALL,0.0,0.0,,0.016,"",-13983.0,-100.0,soldall,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Kansas city southern industries inc.,KSU,"",0.0,0.0,,0.269,"",-130550.0,-100.0,soldall,0.0000000,Q1 2019,TRANSPORTS,13F,06/30/2019,115.98
Navigators group inc.,NAVG,"",0.0,0.0,,0.1401,"",-112900.0,-100.0,soldall,0.0000000,Q3 2018,FINANCE,13F,06/30/2019,69.342
Bmc stock holdings inc,BMCH,"",0.0,0.0,,0.0632,"",-201437.0,-100.0,soldall,0.0000000,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,17.2759
Walt disney co. (the),DIS,"",0.0,0.0,,0.3596,"",-182300.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2019,111.03
Nordic american tanker shipping ltd,NAT,"",0.0,0.0,,0.0043,"",-120133.0,-100.0,soldall,0.0000000,Q3 2018,ENERGY,13F,06/30/2019,2.09
Masco corp.,MAS,"",0.0,0.0,,0.1971,"",-282300.0,-100.0,soldall,0.0000000,Q4 2017,INDUSTRIALS,13F,06/30/2019,39.31
Ardmore shipping corp,ASC,"",0.0,0.0,,0.0241,"",-220324.0,-100.0,soldall,0.0000000,Q2 2018,TRANSPORTS,13F,06/30/2019,8.0528
Winnebago industries inc.,WGO,"",0.0,0.0,,0.1895,"",-342410.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,31.15
International game technology  inc.,IGT,"",0.0,0.0,,0.0352,"",-152700.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,12.99
Lincoln national corp.,LNC,"",0.0,0.0,,0.4791,"",-459458.0,-100.0,soldall,0.0000000,Q2 2018,FINANCE,13F,06/30/2019,63.4274
Sabre corp,SABR,"",0.0,0.0,,0.3863,"",-1016702.0,-100.0,soldall,0.0000000,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,22.4004
Graphic packaging holding company,GPK,"",0.0,0.0,,0.1331,"",-593323.0,-100.0,soldall,0.0000000,Q4 2016,MATERIALS,13F,06/30/2019,13.3028
Encana corp.,ECA,"",0.0,0.0,,0.0928,"",-721830.0,-100.0,soldall,0.0000000,Q1 2019,ENERGY,13F,06/30/2019,7.24
East west bancorp  inc.,EWBC,"",0.0,0.0,,0.2681,"",-314632.0,-100.0,soldall,0.0000000,Q2 2018,FINANCE,13F,06/30/2019,53.4282
Thor industries  inc.,THO,"",0.0,0.0,,0.3103,"",-280000.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,62.37
Hilton worldwide holdings inc,HLT,"",0.0,0.0,,0.1449,"",-98162.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,71.8
Spdr s&p regional banking etf,KRE,"",0.0,0.0,,0.0324,"",-35563.0,-100.0,soldall,No Data,Q4 2018,FINANCE,13F,06/30/2019,46.79
Chevron corp. (standard oil of california),CVX,"",0.0,0.0,,0.4596,"",-210000.0,-100.0,soldall,0.0000000,Q3 2018,ENERGY,13F,06/30/2019,118.3133
Astrazeneca plc,AZN,"",0.0,0.0,,0.0532,"",-74000.0,-100.0,soldall,0.0000000,Q1 2019,HEALTH CARE,13F,06/30/2019,40.43
Agco corp,AGCO,"",0.0,0.0,,0.451,"",-365003.0,-100.0,soldall,0.0000000,Q1 2018,INDUSTRIALS,13F,06/30/2019,60.7052
Dupont de nemours  inc. (formerly dowdupont),DD,"",0.0,0.0,,0.4734,"",-236157.39,-100.0,soldall,0.0000000,Q4 2017,MATERIALS,13F,06/30/2019,66.4574
Petroleo brasileiro sa (petrobras) adr,PBR,"",0.0,0.0,,0.0357,"",-126400.0,-100.0,soldall,0.0000000,Q1 2019,ENERGY,13F,06/30/2019,15.92
Delek us holdings inc.,DK,"",0.0,0.0,,0.0647,"",-100000.0,-100.0,soldall,0.0000000,Q1 2019,ENERGY,13F,06/30/2019,36.42
Cushman & wakefield plc,CWK,"",0.0,0.0,,0.0837,"",-264700.0,-100.0,soldall,No Data,Q1 2019,REAL ESTATE,13F,06/30/2019,17.8
Oasis petroleum inc,OAS,"",0.0,0.0,,0.13,"",-1211900.0,-100.0,soldall,0.0000000,Q3 2018,ENERGY,13F,06/30/2019,10.1079
Jpmorgan chase & co. (chemical bank),JPM,"",0.0,0.0,,0.3134,"",-174300.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,06/30/2019,101.23
Genesee & wyoming inc  class a,GWR,"",0.0,0.0,,0.1345,"",-86892.0,-100.0,soldall,0.0000000,Q1 2019,TRANSPORTS,13F,06/30/2019,87.14
Zions bancorp,ZION,"",0.0,0.0,,0.5623,"",-697000.0,-100.0,soldall,0.0000000,Q3 2018,FINANCE,13F,06/30/2019,43.2096
Fox corp class a,FOXA,"",0.0,0.0,,0.1149,"",-176169.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.71
Fortune brands home & security inc,FBHS,"",0.0,0.0,,0.0536,"",-63400.0,-100.0,soldall,0.0000000,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,42.8563
Nordstrom inc.,JWN,PUT,0.0,0.0,,0.0038,"",-600.0,-100.0,soldall,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Total s.a. adr,TOT,"",0.0,0.0,,0.0719,"",-72700.0,-100.0,soldall,0.0000000,Q1 2019,ENERGY,13F,06/30/2019,55.65
Baker hughes class a,BHGE,"",0.0,0.0,,0.1921,"",-390000.0,-100.0,soldall,0.0000000,Q3 2018,ENERGY,13F,06/30/2019,30.1436
Global medical reit inc,GMRE,"",0.0,0.0,,0.07,"",-401525.0,-100.0,soldall,0.0000000,Q1 2019,REAL ESTATE,13F,06/30/2019,9.82
Northern trust corp.,NTRS,"",0.0,0.0,,0.9385,"",-584337.0,-100.0,soldall,0.0000000,Q2 2018,FINANCE,13F,06/30/2019,91.1846
Xcel energy inc. (northern states power co. (mn)),XEL,"",0.0,0.0,,0.6524,"",-653315.0,-100.0,soldall,0.0000000,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,50.9845
Regency centers corp,REG,"",0.0,0.0,,0.1466,"",-122259.0,-100.0,soldall,0.0000000,Q3 2017,REAL ESTATE,13F,06/30/2019,67.49
Lyon william homes,WLH,"",0.0,0.0,,0.2166,"",-793331.0,-100.0,soldall,0.0000000,Q3 2018,INDUSTRIALS,13F,06/30/2019,11.8144
Dxc technology company,DXC,"",0.0,0.0,,0.1528,"",-133739.0,-100.0,soldall,0.0000000,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,72.0268
Canadian national railway co.,CNI,"",0.0,0.0,,0.3311,"",-208272.0,-100.0,soldall,0.0000000,Q2 2018,TRANSPORTS,13F,06/30/2019,89.48
Manhattan associates  inc.,MANH,"",0.0,0.0,,0.0329,"",-33633.0,-100.0,soldall,0.0000000,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,48.3045
Cnh industrial n.v.,CNHI,"",0.0,0.0,,0.2899,"",-1600000.0,-100.0,soldall,0.0000000,Q4 2018,INDUSTRIALS,13F,06/30/2019,9.5194
Grainger (w.w.) inc.,GWW,"",0.0,0.0,,0.1209,"",-22620.0,-100.0,soldall,0.0000000,Q3 2017,INDUSTRIALS,13F,06/30/2019,282.36
Tsakos energy navigation limited,TNP,"",0.0,0.0,,0.0071,"",-128897.0,-100.0,soldall,0.0000000,Q3 2018,ENERGY,13F,06/30/2019,3.39
Devon energy corp.,DVN,"",0.0,0.0,,0.2,"",-356700.0,-100.0,soldall,0.0000000,Q3 2018,ENERGY,13F,06/30/2019,30.7741
Tier reit inc,TIER,"",0.0,0.0,,0.2023,"",-397400.0,-100.0,soldall,0.0000000,Q1 2019,REAL ESTATE,13F,06/30/2019,28.66
Builders firstsource inc,BLDR,"",0.0,0.0,,0.0774,"",-326497.0,-100.0,soldall,0.0000000,Q3 2018,INDUSTRIALS,13F,06/30/2019,13.3034
