Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Forward air corp,FWRD,"",141655.0,8379000.0,0.0535,0.0103,454,117720.0,491.832045,addition,0.4913458,Q1 2019,TRANSPORTS,13F,06/30/2019,60.0928
Cabot oil & gas corp.,COG,"",363350.0,8343000.0,0.0533,0.0769,455,-79746.0,-17.997454,reduction,0.0858233,Q3 2017,ENERGY,13F,06/30/2019,25.3658
Cyrusone inc,CONE,"",144112.0,8318000.0,0.0532,0.1817,456,-376885.0,-72.339188,reduction,0.1273412,Q3 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,52.44
Ebay inc.,EBAY,"",209011.0,8256000.0,0.0528,0.0293,457,90252.0,75.995925,addition,0.0228457,Q3 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,38.1591
Wayfair inc class a,W,"",56393.0,8233000.0,0.0526,0.0448,458,10986.0,24.194507,addition,0.0615375,Q3 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,136.1034
Deere & co.,DE,PUT,50000.0,8214000.0,0.0525,,459,50000.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,
Pacira biosciences inc,PCRX,"",188752.0,8209000.0,0.0525,,460,188752.0,,new,0.4570266,Q3 2015,HEALTH CARE,13F,06/30/2019,43.49
Genuine parts co.,GPC,"",79144.0,8198000.0,0.0524,0.0229,461,48360.0,157.094595,addition,0.0542305,Q3 2016,INDUSTRIALS,13F,06/30/2019,101.7083
Grand canyon education inc,LOPE,"",69997.0,8191000.0,0.0523,0.0135,462,52239.0,294.171641,addition,0.1450715,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,115.9494
Acadia realty trust,AKR,"",298573.0,8172000.0,0.0522,0.0218,463,178407.0,148.46712,addition,0.3613810,Q1 2019,REAL ESTATE,13F,06/30/2019,27.3298
Shoe carnival inc,SCVL,"",295463.0,8155000.0,0.0521,,464,295463.0,,new,1.9210858,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,27.6
New relic inc,NEWR,CALL,86000.0,8133000.0,0.052,0.023,465,51000.0,145.714286,addition,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Interxion holding n.v.,INXN,"",106305.0,8089000.0,0.0517,0.0484,466,-2802.0,-2.568121,reduction,0.1389790,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,54.4344
Masco corp.,MAS,"",205087.0,8048000.0,0.0514,0.0618,467,-31491.0,-13.311043,reduction,0.0696887,Q4 2015,INDUSTRIALS,13F,06/30/2019,34.1849
Global net lease inc,GNL,"",407745.0,8000000.0,0.0511,0.1705,468,-949337.0,-69.954284,reduction,0.4863371,Q4 2018,REAL ESTATE,13F,06/30/2019,18.4112
Lear corp,LEA,"",57091.0,7951000.0,0.0508,0.0913,469,-44088.0,-43.574259,reduction,0.0916977,Q3 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,135.71
Altra industrial motion corp,AIMC,"",220927.0,7927000.0,0.0507,0.2049,470,-771427.0,-77.737078,reduction,0.3422042,Q1 2018,INDUSTRIALS,13F,06/30/2019,37.6243
New york community bancorp,NYCB,PUT,825000.0,7895000.0,0.0505,,471,825000.0,,new,N/A,Q2 2019,FINANCE,13F,06/30/2019,
Microchip technology inc,MCHP,CALL,92700.0,7889000.0,0.0504,,472,92700.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Apple inc,AAPL,CALL,39600.0,7872000.0,0.0503,0.6425,473,-469100.0,-92.215451,reduction,N/A,Q2 2013,INFORMATION TECHNOLOGY,13F,06/30/2019,
Regenxbio inc,RGNX,"",152521.0,7835000.0,0.0501,0.0031,474,144504.0,1802.469752,addition,0.4162691,Q1 2018,HEALTH CARE,13F,06/30/2019,51.6822
Blackstone mortgage trust  inc.,BXMT,"",219763.0,7819000.0,0.05,0.0175,475,143656.0,188.755305,addition,0.1775719,Q4 2017,REAL ESTATE,13F,06/30/2019,35.1519
Arbor realty trust,ABR,"",644267.0,7809000.0,0.0499,0.0019,476,622371.0,2842.395871,addition,0.7547645,Q4 2018,REAL ESTATE,13F,06/30/2019,12.0503
Northwest bancshares inc,NWBI,"",442780.0,7797000.0,0.0498,0.0677,477,-156821.0,-26.154226,reduction,0.4269405,Q3 2018,FINANCE,13F,06/30/2019,16.9697
Saia inc,SAIA,"",120510.0,7793000.0,0.0498,0.0254,478,58004.0,92.797491,addition,0.4661896,Q1 2019,TRANSPORTS,13F,06/30/2019,62.8183
Stmicroelectronics n.v. ads adr,STM,"",435182.0,7668000.0,0.049,0.0043,479,391950.0,906.620096,addition,0.0485375,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,17.3448
Jabil inc,JBL,"",241040.0,7617000.0,0.0487,0.008,480,195922.0,434.243539,addition,0.1576661,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,30.6622
Amarin corp. adr,AMRN,PUT,400000.0,7604000.0,0.0486,,481,400000.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,
Pure storage inc,PSTG,CALL,470000.0,7586000.0,0.0485,,482,470000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Cognizant technology solutions corp,CTSH,PUT,117500.0,7574000.0,0.0484,,483,117500.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Coherent inc.,COHR,CALL,58700.0,7554000.0,0.0483,,484,58700.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Cushman & wakefield plc,CWK,"",421982.0,7545000.0,0.0482,0.0755,485,-216228.0,-33.880384,reduction,No Data,Q3 2018,REAL ESTATE,13F,06/30/2019,16.2867
Timken (roller bearing axle) co.,TKR,"",146778.0,7536000.0,0.0482,0.0867,486,-152291.0,-50.921694,reduction,0.1928498,Q3 2017,INDUSTRIALS,13F,06/30/2019,46.1198
Esperion therapeutics inc.,ESPR,"",161448.0,7511000.0,0.048,,487,161448.0,,new,0.5997325,Q2 2019,HEALTH CARE,13F,06/30/2019,46.52
Vulcan materials company,VMC,"",54435.0,7474000.0,0.0478,0.1431,488,-127353.0,-70.055779,reduction,0.0412168,Q3 2015,MATERIALS,13F,06/30/2019,118.4
Kbr inc,KBR,"",297927.0,7430000.0,0.0475,0.0255,489,97323.0,48.514985,addition,0.2106235,Q3 2014,INDUSTRIALS,13F,06/30/2019,21.001
International bancshares corp.,IBOC,"",196845.0,7423000.0,0.0474,0.0683,490,-73418.0,-27.165391,reduction,0.2999771,Q3 2017,FINANCE,13F,06/30/2019,38.9782
Brighthouse financial inc,BHF,"",201382.0,7389000.0,0.0472,0.1056,491,-236126.0,-53.97067,reduction,0.1738900,Q2 2018,FINANCE,13F,06/30/2019,36.29
Centerpoint energy inc,CNP,"",255798.0,7323000.0,0.0468,0.0014,492,248981.0,3652.354408,addition,0.0510127,Q4 2015,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,28.604
Jd.com inc adr,JD,PUT,250000.0,7265000.0,0.0464,,493,250000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Mrc global inc,MRC,"",422397.0,7231000.0,0.0462,0.0068,494,363582.0,618.179036,addition,0.5084832,Q1 2015,INDUSTRIALS,13F,06/30/2019,17.2662
F5 networks inc,FFIV,CALL,50000.0,7187000.0,0.0459,,495,50000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Danaher corp.,DHR,PUT,50000.0,7187000.0,0.0459,0.079,496,-40000.0,-44.444444,reduction,N/A,Q4 2018,HEALTH CARE,13F,06/30/2019,
At home group inc,HOME,CALL,971000.0,7185000.0,0.0459,,497,971000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Kite realty group trust,KRG,"",473235.0,7160000.0,0.0458,0.0086,498,392458.0,485.853646,addition,0.5638449,Q4 2017,REAL ESTATE,13F,06/30/2019,15.2354
Dine brands global inc,DIN,PUT,75000.0,7142000.0,0.0456,,499,75000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Hersha hospitality trust,HT,"",431331.0,7134000.0,0.0456,0.057,500,-69001.0,-13.791043,reduction,1.1006150,Q4 2016,REAL ESTATE,13F,06/30/2019,17.172
Aecom,ACM,"",188394.0,7131000.0,0.0456,0.0105,501,135274.0,254.65738,addition,0.1206880,Q3 2017,INDUSTRIALS,13F,06/30/2019,35.1541
Cardiovascular systems inc,CSII,"",165349.0,7098000.0,0.0454,0.0443,502,-7026.0,-4.075997,reduction,0.4748679,Q3 2018,HEALTH CARE,13F,06/30/2019,36.0618
Medical properties trust inc,MPW,"",406713.0,7093000.0,0.0453,,503,406713.0,,new,0.1097593,Q3 2016,REAL ESTATE,13F,06/30/2019,17.44
Stifel financial corp,SF,"",119207.0,7040000.0,0.045,0.0031,504,110401.0,1253.702021,addition,0.1658417,Q1 2017,FINANCE,13F,06/30/2019,58.4547
Uniqure n.v.,QURE,CALL,85000.0,6986000.0,0.0446,,505,85000.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,
Elanco animal health inc,ELAN,"",205783.0,6955000.0,0.0444,0.0732,506,-137490.0,-40.052669,reduction,0.0562694,Q4 2018,HEALTH CARE,13F,06/30/2019,31.7031
Monotype imaging holdings inc,TYPE,CALL,400000.0,6948000.0,0.0444,,507,400000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Spark therapeutics inc,ONCE,"",67675.0,6929000.0,0.0443,0.0197,508,41635.0,159.888633,addition,0.1761911,Q2 2016,HEALTH CARE,13F,06/30/2019,106.805
Lennox international  inc.,LII,"",24995.0,6874000.0,0.0439,0.012,509,18154.0,265.37056,addition,0.0626912,Q3 2015,INDUSTRIALS,13F,06/30/2019,266.2912
Flextronics international inc.,FLEX,"",717088.0,6863000.0,0.0439,0.2986,510,-3774426.0,-84.034604,reduction,0.1375260,Q4 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,10.2765
Spirit airlines inc,SAVE,"",143611.0,6855000.0,0.0438,,511,143611.0,,new,0.2098349,Q4 2018,TRANSPORTS,13F,06/30/2019,47.73
Keane group inc,FRAC,"",1019161.0,6849000.0,0.0438,0.0158,512,801604.0,368.457002,addition,0.9719254,Q1 2018,ENERGY,13F,06/30/2019,7.6655
U.s. silica holdings  inc.,SLCA,"",534594.0,6837000.0,0.0437,0.0338,513,242159.0,82.807803,addition,0.7268443,Q1 2019,MATERIALS,13F,06/30/2019,15.2899
Liberty sirius xm group  series a,LSXMA,"",180702.0,6832000.0,0.0437,0.0216,514,95753.0,112.718219,addition,0.0558671,Q1 2017,COMMUNICATIONS,13F,06/30/2019,39.4916
Valvoline inc,VVV,"",349522.0,6826000.0,0.0436,0.0912,515,-389289.0,-52.691284,reduction,0.1857283,Q4 2018,MATERIALS,13F,06/30/2019,19.35
Gentex corp.,GNTX,"",276233.0,6798000.0,0.0434,0.0136,516,177271.0,179.130373,addition,0.1075297,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,23.2937
Coherent inc.,COHR,"",49609.0,6765000.0,0.0432,,517,49609.0,,new,0.2039005,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,136.37
Caterpillar inc.,CAT,PUT,50000.0,6695000.0,0.0428,,518,50000.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,
Idacorp inc. holding co.,IDA,"",66537.0,6682000.0,0.0427,0.0137,519,45865.0,221.870163,addition,0.1319655,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,99.6019
Aercap holdings n.v.,AER,"",128473.0,6682000.0,0.0427,,520,128473.0,,new,0.0846052,Q4 2018,INDUSTRIALS,13F,06/30/2019,52.01
Front yard residential corp,RESI,"",541411.0,6616000.0,0.0423,,521,541411.0,,new,1.0095301,Q2 2019,REAL ESTATE,13F,06/30/2019,12.22
Granite real estate investment trusts,GRP.U,"",140399.0,6463000.0,0.0413,,522,140399.0,,new,0.2839786,Q2 2019,REAL ESTATE,13F,06/30/2019,45.67
Laureate education inc  class a,LAUR,"",409812.0,6438000.0,0.0411,0.0412,523,-4528.0,-1.092822,reduction,0.1824306,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,14.4122
Ishares u.s. real estate etf,IYR,"",73669.0,6432000.0,0.0411,,524,73669.0,,new,No Data,Q4 2017,REAL ESTATE,13F,06/30/2019,87.31
Box inc,BOX,CALL,352500.0,6408000.0,0.041,0.0303,525,116300.0,49.237934,addition,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Citrix systems inc.,CTXS,"",64915.0,6371000.0,0.0407,,526,64915.0,,new,0.0492788,Q1 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,98.14
Howard hughes corp (the),HHC,"",51308.0,6354000.0,0.0406,0.067,527,-40247.0,-43.959369,reduction,0.1189337,Q3 2018,REAL ESTATE,13F,06/30/2019,101.3119
Kilroy realty corp.,KRC,"",85753.0,6329000.0,0.0404,,528,85753.0,,new,0.0851146,Q2 2019,REAL ESTATE,13F,06/30/2019,73.81
Legg mason inc.,LM,"",164705.0,6305000.0,0.0403,,529,164705.0,,new,0.1925699,Q3 2014,FINANCE,13F,06/30/2019,38.28
Expedia group inc,EXPE,"",47087.0,6264000.0,0.04,,530,47087.0,,new,0.0319906,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,133.03
C&j energy services inc,CJ,"",530659.0,6251000.0,0.0399,,531,530659.0,,new,0.8032985,Q2 2017,ENERGY,13F,06/30/2019,11.78
Tpg re finance trust inc,TRTX,"",322537.0,6222000.0,0.0398,0.0166,532,195319.0,153.530947,addition,0.4423162,Q1 2018,FINANCE,13F,06/30/2019,19.4123
Ptc inc.,PTC,CALL,70000.0,6220000.0,0.0398,0.0536,533,-17400.0,-19.908467,reduction,N/A,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Ishares russell 2000 etf,IWM,PUT,40000.0,6158000.0,0.0394,0.1781,534,-135000.0,-77.142857,reduction,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Yelp inc.,YELP,"",180110.0,6156000.0,0.0393,0.0271,535,61846.0,52.294866,addition,0.2330918,Q4 2017,INDUSTRIALS,13F,06/30/2019,34.3901
Costco co.,COST,"",23052.0,6092000.0,0.0389,0.0151,536,13701.0,146.519089,addition,0.0052482,Q2 2014,CONSUMER STAPLES,13F,06/30/2019,239.698
Xcel energy inc. (northern states power co. (mn)),XEL,"",102348.0,6089000.0,0.0389,0.0913,537,-141815.0,-58.082101,reduction,0.0198861,Q4 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,49.0403
Infosys ltd adr,INFY,"",566737.0,6064000.0,0.0388,,538,566737.0,,new,0.0130396,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,10.7
Tri pointe group inc,TPH,"",505869.0,6055000.0,0.0387,,539,505869.0,,new,0.3557197,Q2 2019,INDUSTRIALS,13F,06/30/2019,11.97
Walgreens boots alliance inc.,WBA,"",110625.0,6048000.0,0.0387,,540,110625.0,,new,0.0120994,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,54.67
Micron technology  inc.,MU,"",156556.0,6041000.0,0.0386,,541,156556.0,,new,0.0141463,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,38.59
Harley davidson inc,HOG,"",167608.0,6005000.0,0.0384,0.0075,542,135936.0,429.199293,addition,0.1050570,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,37.5314
Nuvasive inc,NUVA,"",102462.0,5998000.0,0.0383,,543,102462.0,,new,0.1975742,Q2 2015,HEALTH CARE,13F,06/30/2019,58.54
Alexion pharmaceuticals inc.,ALXN,"",45677.0,5983000.0,0.0382,0.1156,544,-82921.0,-64.480785,reduction,0.0204399,Q1 2015,HEALTH CARE,13F,06/30/2019,124.0348
Renewable energy group inc,REGI,"",377118.0,5981000.0,0.0382,0.0614,545,-43272.0,-10.293299,reduction,1.0024402,Q4 2018,HEALTH CARE,13F,06/30/2019,25.2687
Pool corp,POOL,"",31096.0,5939000.0,0.038,,546,31096.0,,new,0.0789439,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,191.0
Workday inc,WDAY,"",28673.0,5895000.0,0.0377,,547,28673.0,,new,0.0129158,Q2 2019,COMMUNICATIONS,13F,06/30/2019,205.58
Roper technologies inc,ROP,"",16057.0,5881000.0,0.0376,0.0263,548,4489.0,38.805325,addition,0.0154975,Q3 2017,INDUSTRIALS,13F,06/30/2019,302.5594
Versum materials inc,VSM,"",113902.0,5875000.0,0.0375,0.0268,549,33740.0,42.089768,addition,0.1042677,Q1 2019,MATERIALS,13F,06/30/2019,50.6862
Anthem inc,ANTM,PUT,20000.0,5875000.0,0.0375,,550,20000.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,
Spdr s&p technology etf,XLK,PUT,75000.0,5873000.0,0.0375,,551,75000.0,,new,No Data,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Docusign inc,DOCU,"",117566.0,5844000.0,0.0373,0.018,552,65492.0,125.767177,addition,0.0691972,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,50.6534
Clovis oncology inc,CLVS,"",392919.0,5843000.0,0.0373,0.07,553,-31180.0,-7.352057,reduction,0.7412168,Q2 2014,HEALTH CARE,13F,06/30/2019,46.6148
Mondelez international inc. (kraft foods),MDLZ,"",108304.0,5838000.0,0.0373,0.0813,554,-136534.0,-55.765036,reduction,0.0074994,Q3 2016,CONSUMER STAPLES,13F,06/30/2019,43.9985
Dte energy co. (detroit edison),DTE,"",45646.0,5837000.0,0.0373,,555,45646.0,,new,0.0249146,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,127.88
One gas  inc.,OGS,"",64631.0,5836000.0,0.0373,,556,64631.0,,new,0.1226627,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,90.3
Northstar realty europe corp,NRE,"",354681.0,5827000.0,0.0372,,557,354681.0,,new,0.7049911,Q2 2017,REAL ESTATE,13F,06/30/2019,16.43
Ppg industries  inc. (pittsburgh plate glass),PPG,"",49845.0,5817000.0,0.0372,0.2652,558,-303472.0,-85.892272,reduction,0.0211118,Q4 2017,MATERIALS,13F,06/30/2019,107.8544
Fireeye inc,FEYE,PUT,397500.0,5807000.0,0.0371,,559,397500.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Mellanox technologies ltd,MLNX,"",52158.0,5772000.0,0.0369,0.0625,560,-27299.0,-34.356948,reduction,0.0961792,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,96.6473
Nektar therapeutics  inc.,NKTR,"",161829.0,5758000.0,0.0368,0.0387,561,-11602.0,-6.689692,reduction,0.0929518,Q3 2018,HEALTH CARE,13F,06/30/2019,35.3667
Columbia property trust inc,CXP,"",277069.0,5746000.0,0.0367,0.0598,562,-122337.0,-30.629735,reduction,0.2370542,Q3 2018,REAL ESTATE,13F,06/30/2019,21.3714
Bloomin brands inc,BLMN,"",303281.0,5735000.0,0.0367,0.2449,563,-1498161.0,-83.164543,reduction,0.3306957,Q1 2018,CONSUMER STAPLES,13F,06/30/2019,20.2302
Grocery outlet holding corp,GO,"",172574.0,5674000.0,0.0363,,564,172574.0,,new,No Data,Q2 2019, ,13F,06/30/2019,32.88
Helix energy solutions group inc.,HLX,"",657450.0,5674000.0,0.0363,0.0022,565,615289.0,1459.379521,addition,0.4418644,Q3 2018,ENERGY,13F,06/30/2019,8.5838
Freeport-mcmoran copper & gold  inc,FCX,CALL,500000.0,5670000.0,0.0362,,566,500000.0,,new,N/A,Q2 2019,MATERIALS,13F,06/30/2019,
Ryder system inc.,R,"",97179.0,5666000.0,0.0362,0.0334,567,16225.0,20.042246,addition,0.1817109,Q3 2015,TRANSPORTS,13F,06/30/2019,61.3739
Slm corp,SLM,"",580120.0,5639000.0,0.036,0.01,568,427600.0,280.356675,addition,0.1328114,Q4 2015,FINANCE,13F,06/30/2019,9.77
C.h. robinson worldwide inc,CHRW,"",66678.0,5624000.0,0.0359,0.0304,569,14128.0,26.884872,addition,0.0485425,Q2 2015,TRANSPORTS,13F,06/30/2019,84.1451
Lockheed martin corp.,LMT,"",15467.0,5623000.0,0.0359,0.0877,570,-28459.0,-64.788508,reduction,0.0054739,Q3 2015,INDUSTRIALS,13F,06/30/2019,300.5332
Pepsico inc. (loft  inc.),PEP,"",42803.0,5613000.0,0.0359,0.0075,571,33600.0,365.098337,addition,0.0030480,Q2 2015,CONSUMER STAPLES,13F,06/30/2019,128.8039
Xilinx  inc,XLNX,CALL,50000.0,5607000.0,0.0358,,572,50000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Medidata solutions inc,MDSO,"",61651.0,5580000.0,0.0357,,573,61651.0,,new,0.0990218,Q2 2019,HEALTH CARE,13F,06/30/2019,90.51
Madison square garden company,MSG,"",19834.0,5552000.0,0.0355,0.0428,574,-2124.0,-9.673012,reduction,0.0834764,Q3 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,244.1069
Tesla inc,TSLA,PUT,25000.0,5547000.0,0.0355,,575,25000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Thermo fisher scientific  inc.,TMO,"",18877.0,5544000.0,0.0354,0.0168,576,9639.0,104.340766,addition,0.0047311,Q4 2016,HEALTH CARE,13F,06/30/2019,254.9503
Teradata corp.,TDC,"",154490.0,5538000.0,0.0354,0.0127,577,110770.0,253.362306,addition,0.1313914,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,36.9287
Redfin corp,RDFN,"",307911.0,5536000.0,0.0354,0.009,578,241033.0,360.40701,addition,0.3384009,Q3 2018,REAL ESTATE,13F,06/30/2019,18.4774
Diamond offshore drilling inc,DO,"",623193.0,5528000.0,0.0353,,579,623193.0,,new,0.4529677,Q2 2019,ENERGY,13F,06/30/2019,8.87
Activision blizzard inc,ATVI,CALL,120000.0,5509000.0,0.0352,0.0132,580,76300.0,174.599542,addition,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Pagseguro digital ltd,PAGS,"",141067.0,5497000.0,0.0351,0.1153,581,-439976.0,-75.721762,reduction,0.0430358,Q1 2018,FINANCE,13F,06/30/2019,29.0388
Harley davidson inc,HOG,PUT,150000.0,5496000.0,0.0351,,582,150000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Fox corp,FOX,"",149914.0,5476000.0,0.035,0.0027,583,138621.0,1227.494908,addition,0.0312497,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.481
Northrop grumman corp.,NOC,"",16872.0,5452000.0,0.0348,0.034,584,-2110.0,-11.115794,reduction,0.0099270,Q3 2015,INDUSTRIALS,13F,06/30/2019,273.757
Spdr s&p financial etf,XLF,PUT,200000.0,5444000.0,0.0348,,585,200000.0,,new,No Data,Q4 2018,FINANCE,13F,06/30/2019,
Semtech corp,SMTC,CALL,117500.0,5443000.0,0.0348,,586,117500.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Csx corp,CSX,"",69983.0,5415000.0,0.0346,0.1127,587,-156616.0,-69.115927,reduction,0.0086113,Q1 2015,TRANSPORTS,13F,06/30/2019,72.5531
Sterling bancorp  inc. (provident bancorp),STL,"",253515.0,5395000.0,0.0345,0.0022,588,236103.0,1355.978635,addition,0.1191834,Q4 2017,FINANCE,13F,06/30/2019,21.0363
Regency centers corp,REG,"",79817.0,5327000.0,0.034,0.1207,589,-189118.0,-70.321081,reduction,0.0476463,Q1 2016,REAL ESTATE,13F,06/30/2019,61.1306
Green plains inc,GPRE,"",491370.0,5297000.0,0.0339,0.0268,590,249987.0,103.56446,addition,1.1863110,Q3 2017,ENERGY,13F,06/30/2019,12.4797
Wynn resorts ltd,WYNN,"",42697.0,5294000.0,0.0338,0.0171,591,21149.0,98.14832,addition,0.0396665,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,125.0514
Cummins inc,CMI,"",30543.0,5233000.0,0.0334,0.0211,592,10404.0,51.660956,addition,0.0193948,Q4 2017,INDUSTRIALS,13F,06/30/2019,156.9706
First financial bankshares inc,FFIN,"",169929.0,5232000.0,0.0334,0.0978,593,-339301.0,-66.630206,reduction,0.2505588,Q4 2017,FINANCE,13F,06/30/2019,35.0924
Everest re group ltd.,RE,"",21166.0,5232000.0,0.0334,0.2279,594,-137551.0,-86.664314,reduction,0.0520305,Q1 2019,FINANCE,13F,06/30/2019,215.96
Marketaxess holdings inc,MKTX,"",16138.0,5187000.0,0.0331,,595,16138.0,,new,0.0428405,Q4 2018,FINANCE,13F,06/30/2019,321.42
Crispr therapeutics ag,CRSP,"",109657.0,5165000.0,0.033,,596,109657.0,,new,0.2072519,Q2 2019,HEALTH CARE,13F,06/30/2019,47.1
Sap se adr,SAP,"",37741.0,5163000.0,0.033,,597,37741.0,,new,0.0030721,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,136.8
Mastec inc. (burnup & sims  inc.),MTZ,"",99862.0,5146000.0,0.0329,,598,99862.0,,new,0.1310353,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,51.53
Pnm resources  inc.,PNM,"",100434.0,5113000.0,0.0327,0.007,599,78222.0,352.160994,addition,0.1260942,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,49.3668
Ollies bargain outlet holdings inc,OLLI,"",58519.0,5098000.0,0.0326,0.0543,600,-37182.0,-38.852259,reduction,0.0926080,Q1 2017,CONSUMER STAPLES,13F,06/30/2019,88.508
Kellogg co.,K,"",94989.0,5089000.0,0.0325,,601,94989.0,,new,0.0276211,Q4 2015,CONSUMER STAPLES,13F,06/30/2019,53.57
Mckesson corp.,MCK,"",37809.0,5081000.0,0.0325,0.0224,602,9036.0,31.404442,addition,0.0197096,Q3 2015,HEALTH CARE,13F,06/30/2019,120.5406
Louisiana pacific corp.,LPX,"",192520.0,5048000.0,0.0323,,603,192520.0,,new,0.1559624,Q3 2015,MATERIALS,13F,06/30/2019,26.22
Amgen  inc.,AMGN,"",27359.0,5042000.0,0.0322,0.0149,604,15572.0,132.111648,addition,0.0043966,Q3 2014,HEALTH CARE,13F,06/30/2019,186.2905
Sinclair broadcast group inc  class a,SBGI,"",93979.0,5040000.0,0.0322,0.0118,605,47775.0,103.400139,addition,0.1028329,Q2 2018,COMMUNICATIONS,13F,06/30/2019,41.2195
Wyndham destinations inc,WYND,"",114466.0,5025000.0,0.0321,,606,114466.0,,new,0.1211793,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,43.9
Coherus biosciences inc,CHRS,"",227199.0,5021000.0,0.0321,0.032,607,-125171.0,-35.522604,reduction,0.3276594,Q1 2018,HEALTH CARE,13F,06/30/2019,13.2161
Kla - tencor corp,KLAC,"",42351.0,5006000.0,0.032,0.017,608,20903.0,97.458971,addition,0.0279803,Q4 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,109.9504
Boston properties  inc.,BXP,"",38737.0,4997000.0,0.0319,0.3227,609,-323731.0,-89.312988,reduction,0.0250709,Q1 2019,REAL ESTATE,13F,06/30/2019,133.88
Micron technology  inc.,MU,PUT,150000.0,4988000.0,0.0319,0.0275,610,50000.0,50.0,addition,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
